horizon,alpha_rep_1996_2022,alpha_pub_1996_2022,alpha_abs_diff_1996_2022,alpha_se_rep_1996_2022,alpha_se_pub_1996_2022,alpha_se_abs_diff_1996_2022,beta_rep_1996_2022,beta_pub_1996_2022,beta_abs_diff_1996_2022,beta_se_rep_1996_2022,beta_se_pub_1996_2022,beta_se_abs_diff_1996_2022,r2_rep_1996_2022,r2_pub_1996_2022,r2_abs_diff_1996_2022,alpha_rep_2012_2022,alpha_pub_2012_2022,alpha_abs_diff_2012_2022,alpha_se_rep_2012_2022,alpha_se_pub_2012_2022,alpha_se_abs_diff_2012_2022,beta_rep_2012_2022,beta_pub_2012_2022,beta_abs_diff_2012_2022,beta_se_rep_2012_2022,beta_se_pub_2012_2022,beta_se_abs_diff_2012_2022,r2_rep_2012_2022,r2_pub_2012_2022,r2_abs_diff_2012_2022
1m,0.01835420239100321,0.014,0.004354202391003209,0.040954796933607776,0.041,4.5203066392225655e-05,1.4252923241381676,1.569,0.1437076758618323,1.0186953146476327,1.024,0.005304685352367278,0.01129559611702402,0.01302,0.0017244038829759799,-0.016296143255375935,-0.015,0.0012961432553759353,0.035260902284653714,0.035,0.0002609022846537107,4.263675284385276,4.28,0.016324715614723928,0.8010673825509222,0.822,0.020932617449077706,0.07849318027863694,0.07809,0.00040318027863693595
3m,0.014935727953701012,0.015,6.427204629898785e-05,0.05047961160191789,0.051,0.0005203883980821056,1.3824351660205827,1.439,0.05656483397941736,1.2581395585589001,1.269,0.010860441441099766,0.021126192986168024,0.02201,0.0008838070138319741,-0.0093262665487977,-0.008,0.0013262665487976995,0.04130950335446409,0.041,0.0003095033544640857,3.5942104394587018,3.62,0.02578956054129833,0.9903196796991744,0.997,0.0066803203008255485,0.1247685618080775,0.12334,0.0014285618080774887
6m,-0.02724612042307378,-0.025,0.002246120423073778,0.03678390238903655,0.037,0.00021609761096344493,2.431782704391789,2.418,0.013782704391788858,0.7882937166621256,0.806,0.017706283337874495,0.07039746267879277,0.0684,0.0019974626787927635,0.011317460938120695,0.011,0.000317460938120696,0.05205658667689041,0.053,0.0009434133231095918,2.967200198110429,3.007,0.03979980188957111,1.6148073392562028,1.633,0.018192660743797218,0.11508107708502369,0.11454,0.0005410770850236835
12m,-0.0037590940301859984,0.003,0.006759094030185998,0.04327898497503499,0.043,0.0002789849750349932,2.0257029156732282,1.858,0.16770291567322815,0.797858000732978,0.824,0.026141999267021987,0.056589721375596924,0.04727,0.009319721375596925,0.00419411583167459,0.008,0.00380588416832541,0.0674531999588507,0.07,0.002546800041149308,3.2922274561490448,3.188,0.1042274561490446,2.28728929905637,2.368,0.08071070094363009,0.12405906166022829,0.11316,0.01089906166022829
