sample,horizon,start,end_requested,last_usable_date,nobs,alpha,alpha_se_nw,alpha_t_nw,beta,beta_se_nw,beta_t_nw,r2,nw_lags
January 1996-December 2022,1m,1996-01-01,2022-12-31,2022-12-30,6785,0.01835420239100321,0.040954796933607776,0.44815757286643093,1.4252923241381676,1.0186953146476327,1.399135054067837,0.01129559611702402,21
January 1996-December 2022,3m,1996-01-01,2022-12-31,2022-12-30,6786,0.014935727953701012,0.05047961160191789,0.2958764435725879,1.3824351660205827,1.2581395585589001,1.0987931796724153,0.021126192986168024,65
January 1996-December 2022,6m,1996-01-01,2022-12-31,2022-12-30,6786,-0.02724612042307378,0.03678390238903655,-0.740707718689317,2.431782704391789,0.7882937166621256,3.084868816015297,0.07039746267879277,130
January 1996-December 2022,12m,1996-01-01,2022-12-31,2022-12-30,6786,-0.0037590940301859984,0.04327898497503499,-0.08685725953033305,2.0257029156732282,0.797858000732978,2.5389266182857737,0.056589721375596924,260
February 2012-December 2022,1m,2012-02-01,2022-12-31,2022-12-30,2748,-0.016296143255375935,0.035260902284653714,-0.4621589976291775,4.263675284385276,0.8010673825509222,5.322492685706427,0.07849318027863694,21
February 2012-December 2022,3m,2012-02-01,2022-12-31,2022-12-30,2748,-0.0093262665487977,0.04130950335446409,-0.22576564207930286,3.5942104394587018,0.9903196796991744,3.6293436484575374,0.1247685618080775,65
February 2012-December 2022,6m,2012-02-01,2022-12-31,2022-12-30,2748,0.011317460938120695,0.05205658667689041,0.2174068962371073,2.967200198110429,1.6148073392562028,1.8374948676398464,0.11508107708502369,130
February 2012-December 2022,12m,2012-02-01,2022-12-31,2022-12-30,2748,0.00419411583167459,0.0674531999588507,0.06217815958669386,3.2922274561490448,2.28728929905637,1.4393576962508705,0.12405906166022829,260
