sample,measure,horizon,mean,std,p1,p5,p25,p50,p75,p95,p99,min,max,n,start,end
full,svix,1m,18.93986934503127,7.451449755799216,9.508747180678432,10.933994464686233,13.723389222986862,17.45789204220059,22.05714349581923,32.10713827668249,46.98195279372402,8.426729512579332,74.10142137848517,7453,1996-01-04,2025-08-29
full,svix,3m,19.497496437122564,6.2330020180816375,11.314612323141002,12.248337422229433,14.82240102809973,18.391483431917656,22.643905386048733,30.187645166720078,41.63736178493161,10.140200561676563,62.6093341153933,7453,1996-01-04,2025-08-29
full,svix,6m,19.615055042926155,5.182844014733975,12.159379403029158,13.166232221745782,15.580853573323218,18.797754272824495,22.576615976988805,28.506988629152737,36.867678539061465,11.195178843375803,48.78549963304407,7453,1996-01-04,2025-08-29
full,svix,12m,19.34380943636686,4.426014662798413,12.311148498020989,13.442178055358566,16.16187979567919,18.663120943738278,21.874279213038893,26.824765118153937,34.42305280960633,10.77485312083198,42.760796074936316,7453,1996-01-04,2025-08-29
full,svix2,1m,4.1423530437022125,4.185203210165625,0.9041627396831298,1.1955223522470506,1.8833141176559196,3.0477799455713073,4.865175791951605,10.308686682291706,22.07313043369069,0.710097702781755,54.9102065031182,7453,1996-01-04,2025-08-29
full,svix2,3m,4.189974687648244,3.1741049832743595,1.2802049216727094,1.5002178064676255,2.197035722378119,3.3824666282650164,5.127464511323268,9.112939374041833,17.336699033860313,1.028236674310257,39.19928718372952,7453,1996-01-04,2025-08-29
full,svix2,6m,4.1160865224901615,2.3995677699606577,1.478505310087281,1.733496709400203,2.4276299807333888,3.5335556570149156,5.097035889724263,8.126484029946623,13.592271961031978,1.2533202933516918,23.80024974445743,7453,1996-01-04,2025-08-29
full,svix2,12m,3.937699408869179,1.947006735727856,1.5156437942836725,1.8069215087301649,2.6120635852998326,3.483120833606023,4.784840910899853,7.195680334746915,11.849465648276817,1.1609745977550263,18.284856809622895,7453,1996-01-04,2025-08-29
martin2017,svix,1m,20.846583616042924,7.9919627148504775,10.10564149254334,11.148522787008682,15.510949612110057,19.605117231574063,23.803033244835,35.831773964797705,51.18445730761257,9.317554928719012,74.10142137848517,4038,1996-01-04,2012-01-31
martin2017,svix,3m,21.024092559165396,6.793039779721605,11.139976027072203,12.197461039624626,16.248850913208383,20.322821237352237,24.174729711133164,33.34367538570672,45.69370909547517,10.140200561676563,62.6093341153933,4038,1996-01-04,2012-01-31
martin2017,svix,6m,20.784051892300095,5.697357585835279,11.980803006119782,12.73274791868768,16.687825727249415,20.405425245737383,24.167808518214557,30.58853508147237,38.242694747983606,11.195178843375803,48.78549963304407,4038,1996-01-04,2012-01-31
martin2017,svix,12m,20.128851812536062,5.136121987933586,11.96291821669732,12.813857942328559,16.092553757268817,20.074019432430475,23.05606359308716,28.20783255522262,35.63037228475951,10.77485312083198,42.760796074936316,4038,1996-01-04,2012-01-31
martin2017,svix2,1m,4.984356988964188,4.726256199527344,1.0212398997706598,1.242895713302554,2.405895579259036,3.84360633902672,5.665843924778199,12.839160284840931,26.19848766016512,0.8681682984969593,54.9102065031182,4038,1996-01-04,2012-01-31
martin2017,svix2,3m,4.881464296018142,3.601319935367669,1.2409906671285948,1.4877806172705443,2.640251664034443,4.130170891836321,5.844175571708769,11.118007695780578,20.883064099542196,1.028236674310257,39.19928718372952,4038,1996-01-04,2012-01-31
martin2017,svix2,6m,4.644286579185718,2.7065956860873404,1.4353968651143063,1.6212286959681552,2.7848354703305453,4.163813814419399,5.840829702363331,9.356584959764875,14.625048292064958,1.2533202933516918,23.80024974445743,4038,1996-01-04,2012-01-31
martin2017,svix2,12m,4.315438914910145,2.298322688843699,1.431114170812072,1.6419495548761032,2.589702923312072,4.029662562246974,5.315820684122125,7.95682340212569,12.695277554575458,1.1609745977550263,18.284856809622895,4038,1996-01-04,2012-01-31
