sample,horizon,start,end_requested,last_usable_date,nobs,alpha,alpha_se_nw,alpha_t_nw,beta,beta_se_nw,beta_t_nw,r2,nw_lags
January 1996-latest usable,1m,1996-01-01,2025-08-29,2025-08-29,7452,0.02695519315696086,0.03915534660083395,0.68841666584524,1.4582703974786329,1.0080690322719665,1.4465977535209182,0.011438961975919426,21
January 1996-latest usable,3m,1996-01-01,2025-08-29,2025-08-29,7453,0.02649889131493801,0.04822766533047663,0.549454159419832,1.3517990009474754,1.2383649705260846,1.0915998377870795,0.019493959860090282,65
January 1996-latest usable,6m,1996-01-01,2025-08-29,2025-07-03,7413,-0.011205871751563266,0.034223109551965225,-0.3274358145202437,2.2859308385648416,0.7744257239449058,2.9517754484192045,0.061138525152946155,130
January 1996-latest usable,12m,1996-01-01,2025-08-29,2025-01-03,7290,0.009615703081199191,0.04025156282241887,0.2388901798328075,1.8677395105890504,0.7838153294410946,2.38288209025059,0.04782725266361543,260
