sample,horizon,start,end_requested,last_usable_date,nobs,alpha,alpha_se_nw,alpha_t_nw,beta,beta_se_nw,beta_t_nw,r2,nw_lags,hac_lag_share,independent_periods,inference_reliable
January 2023-latest usable,1m,2023-01-01,2025-08-29,2025-08-29,667,-0.0686110967772772,0.08240004856805036,-0.8326584506878596,8.655236821546797,2.432596624637974,3.5580238556135027,0.11149907697041284,21,0.031484257871064465,32.37,True
January 2023-latest usable,3m,2023-01-01,2025-08-29,2025-08-29,667,-0.11862138652368996,0.10070426586621743,-1.1779181894963107,9.902566754200365,2.1059759103053266,4.702127268286122,0.2275230802331346,65,0.09745127436281859,10.79,True
January 2023-latest usable,6m,2023-01-01,2025-08-29,2025-07-03,627,-0.02170073675836908,0.11586596489084468,-0.18729172780646128,6.150569710791593,3.259413835002369,1.8870171209134363,0.14684829337109384,130,0.20733652312599682,5.08,True
January 2023-latest usable,12m,2023-01-01,2025-08-29,2025-01-03,504,-0.025511945961830956,0.06929433729418376,-0.3681678324380528,6.221250737893667,1.8340966508279868,3.3919972184045686,0.20227832768838694,260,0.5158730158730159,2.04,False
