horizon,beta_full,beta_ex_crisis,beta_change,beta_published,abs_gap_full,abs_gap_ex_crisis,r2_full,r2_ex_crisis,nobs_full,nobs_ex_crisis,crisis_obs_dropped
1m,1.4252923241381676,3.3884032796746917,1.963110955536524,1.569,0.1437076758618323,1.8194032796746917,0.01129559611702402,0.035864394636370256,6785,6660,125
3m,1.3824351660205827,3.024794184222141,1.6423590182015584,1.439,0.05656483397941736,1.585794184222141,0.021126192986168024,0.06160587308868881,6786,6661,125
6m,2.431782704391789,2.63510782403946,0.20332511964767086,2.418,0.013782704391788858,0.21710782403945972,0.07039746267879277,0.060252919556652795,6786,6661,125
12m,2.0257029156732282,1.6616644979537867,-0.36403841771944156,1.858,0.16770291567322815,0.19633550204621342,0.056589721375596924,0.02728441204662191,6786,6661,125
