dte_bucket,n,mean_rel_diff_bp,median_abs_rel_diff_bp,p95_abs_rel_diff_bp
"[0, 45)",48035,-0.15209369065737677,5.053568976677629,18.570355158930802
"[45, 90)",21382,0.28677736041306,6.681674449184802,27.383803496978484
"[90, 180)",23397,-0.14511008482228344,8.419976652574604,32.34976219826323
"[180, 270)",14985,1.5494132595054175,10.88611638842061,44.76532621122367
"[270, 400)",18641,2.7001212554513794,14.63642997701067,54.32109935249992
"[400, 550)",7893,7.315930833230627,19.59433853427947,80.0125543644145
