horizon,excluded_year,beta,beta_full,beta_change,nobs
6m,1996,2.6185493375222233,2.431782704391789,0.1867666331304343,6534
6m,1997,2.4758857762653994,2.431782704391789,0.0441030718736104,6535
6m,1998,2.1861214810537155,2.431782704391789,-0.2456612233380735,6535
6m,1999,2.490564662783344,2.431782704391789,0.0587819583915552,6534
6m,2000,2.4897168366906546,2.431782704391789,0.05793413229886557,6534
6m,2001,2.4942142237373495,2.431782704391789,0.06243151934556046,6538
6m,2002,2.520484003135599,2.431782704391789,0.08870129874381005,6536
6m,2003,2.364813755532645,2.431782704391789,-0.06696894885914384,6536
6m,2004,2.4367461181438568,2.431782704391789,0.004963413752067769,6536
6m,2005,2.488793529985266,2.431782704391789,0.057010825593477144,6534
6m,2006,2.5534211012155756,2.431782704391789,0.12163839682378663,6535
6m,2007,2.3745449018520786,2.431782704391789,-0.05723780253971045,6536
6m,2008,3.0076770911859767,2.431782704391789,0.5758943867941877,6533
6m,2009,1.7283413830950947,2.431782704391789,-0.7034413212966943,6534
6m,2010,2.278787601176892,2.431782704391789,-0.15299510321489684,6534
6m,2011,2.282197863812691,2.431782704391789,-0.14958484057909782,6534
6m,2012,2.4681305543716863,2.431782704391789,0.03634784997989726,6536
6m,2013,2.6145645390738497,2.431782704391789,0.18278183468206066,6534
6m,2014,2.5475287639274242,2.431782704391789,0.11574605953563522,6534
6m,2015,2.36636040658215,2.431782704391789,-0.06542229780963904,6534
6m,2016,2.511773429556769,2.431782704391789,0.07999072516498007,6534
6m,2017,2.637233330272852,2.431782704391789,0.2054506258810629,6535
6m,2018,2.3751141507812603,2.431782704391789,-0.056668553610528694,6535
6m,2019,2.4571392139212356,2.431782704391789,0.02535650952944657,6534
6m,2020,1.8587439635173286,2.431782704391789,-0.5730387408744604,6533
6m,2021,2.409637208370167,2.431782704391789,-0.02214549602162208,6534
6m,2022,2.5750819830739786,2.431782704391789,0.1432992786821896,6535
12m,1996,2.46310252837777,2.0257029156732282,0.43739961270454186,6534
12m,1997,2.1509684653411147,2.0257029156732282,0.1252655496678865,6535
12m,1998,1.9459416136141712,2.0257029156732282,-0.07976130205905707,6535
12m,1999,2.16221054601896,2.0257029156732282,0.13650763034573155,6534
12m,2000,2.114778067736327,2.0257029156732282,0.0890751520630988,6534
12m,2001,2.1038386062963776,2.0257029156732282,0.0781356906231494,6538
12m,2002,1.9482742201293932,2.0257029156732282,-0.07742869554383502,6536
12m,2003,1.9245020594999351,2.0257029156732282,-0.10120085617329311,6536
12m,2004,2.038263392408627,2.0257029156732282,0.01256047673539884,6536
12m,2005,2.0676544348887207,2.0257029156732282,0.04195151921549245,6534
12m,2006,2.14212315378716,2.0257029156732282,0.11642023811393187,6535
12m,2007,1.788972748357253,2.0257029156732282,-0.23673016731597518,6536
12m,2008,2.126025670650293,2.0257029156732282,0.10032275497706467,6533
12m,2009,1.4378871978338612,2.0257029156732282,-0.587815717839367,6534
12m,2010,1.9935589346917573,2.0257029156732282,-0.032143980981470976,6534
12m,2011,1.9486871384429973,2.0257029156732282,-0.0770157772302309,6534
12m,2012,1.9904156432921418,2.0257029156732282,-0.03528727238108642,6536
12m,2013,2.182086235053889,2.0257029156732282,0.15638331938066097,6534
12m,2014,2.0827747344578924,2.0257029156732282,0.05707181878466416,6534
12m,2015,1.989873186274238,2.0257029156732282,-0.03582972939899021,6534
12m,2016,2.107819591838689,2.0257029156732282,0.08211667616546059,6534
12m,2017,2.180573046903652,2.0257029156732282,0.1548701312304237,6535
12m,2018,2.00274734570719,2.0257029156732282,-0.022955569966038425,6535
12m,2019,2.0741133273318764,2.0257029156732282,0.04841041165864812,6534
12m,2020,1.4894945400143729,2.0257029156732282,-0.5362083756588554,6533
12m,2021,2.0436147685309645,2.0257029156732282,0.01791185285773622,6534
12m,2022,2.1060693268773885,2.0257029156732282,0.08036641120416022,6535
