horizon,beta_parity_forward,beta_om_forward,beta_change,beta_published,abs_gap_parity,abs_gap_om,r2_parity_forward,r2_om_forward,nobs_parity,nobs_om
1m,1.4252953856760011,1.4252953856760011,0.0,1.569,0.14370461432399884,0.14370461432399884,0.011295647146353893,0.011295647146353893,6785,6785
3m,1.382437863656231,1.3824348394965713,-3.0241596595814713e-06,1.439,0.056562136343769165,0.056565160503428746,0.021126289157768374,0.021126229349114345,6786,6786
6m,2.4317818863136713,2.4317934249891566,1.1538675485311956e-05,2.418,0.013781886313671166,0.013793424989156478,0.07039748414928515,0.07039810285309067,6786,6786
12m,2.0256989163150108,2.0256926295790545,-6.28673595626239e-06,1.858,0.16769891631501066,0.1676926295790544,0.05658957172035295,0.0565893623245356,6786,6786
